Likes,Dislikes
"colorful","monochromatic colors"
"vibrant","flat/muted/boring palettes"
"bright saturated colors","clashing environments"
"cohesive color schemes","incoherent scene layout"
"pink-purple-blue palettes (cohesive gradients/accents; not hard split halves)","random disconnected elements"
"symmetry (balanced composition within one cohesive world; no left/right split)","abstract without clear story"
"outdoors/nature themes","single character focus"
"calming gardens","realistic photographic style"
"secret garden vibes","apocalyptic/doomsday/end-of-world themes"
"water features (ocean/lake/pond/pool)","horror elements"
"coastal/ocean scenery with a city backdrop","too dark/scary/ominous tone"
"Japanese city/garden aesthetics","fighting/violent conflict"
"koi ponds","sad/worried/distressed expressions"
"stylized cities","distressing central figure"
"future-glossy luminous buildings","obstruction/blocked crossing/guarding vibe"
"fantastical architecture","abandoned/ruined-city vibes"
"fantasy elements","menacing 'being watched' vibe"
"storytelling with clear emotional read","text/typography/labels/numbers/symbols/glyphs in the image"
"adventure/discovery/exploration vibes (boats/spaceships)","weird disembodied/cut-off limbs (arms/hands)"
"classic/timeless compositions","technical anatomy errors (especially hands)"
"mildly impressionist style","couple pasted like a sticker / awkwardly slotted into a corner"
"crisp sharp detail (when it suits the subject)",""
"","duplicate/repeated scene"
"women/girls present","stiff/formal clothing"
"",""
"couple integrated naturally/organically into the scene (not pasted)",""
"uplifting, serene, joyful calm tone","bleak/depressing mood (even without explicit horror)"
"bright daylight / golden hour / luminous optimistic lighting","dusk/night low-key moody lighting"
"clean, polished, well-maintained materials (polished stone, glossy glass, clean ceramic)","patina/weathering/grit/cracks/concrete grain/dark pools"
"clear luminous water with sparkling reflections","murky/dark water or sludge"
"one cohesive environment with layered details to explore","split-scene/diptych composition (left half/right half, central seam/border/scar, two shores)"
"balanced framing using arches, canals, radial gardens, terraces","hard half-and-half color blocking"
"shared doable activities (hiking/walking/exploring/mapping/boating)","couple tiny/secondary or posed without interaction"
"landmark + path + destination composition (lighthouse, aqueduct, bridge, observatory)","incoherent staging where props dominate"
"mechanism-driven storytelling with visible cause-and-effect (atlas reshapes coast, aqueduct brings gardens, lantern controls light)","random staged symbolism pile-ups"
"subtle holiday vibe via lighting/material warmth (1-2 motifs max)","greeting-card framing (wreath/garland border) or holiday decor overload"
"wardrobe/styling as aesthetics (if beauty/fashion theme appears), not products","advertisement/packshot/product-photography vibe"
"scene-first focus (environment + couple), props always secondary","cosmetics-as-hero object (lipstick/compact/packaging) or commercial spotlighting"
"storybook illustration / gouache / travel-poster / animated-film look (clearly non-photoreal)","cinematic/fashion-editorial/35mm/DSLR lens language"
"single meaningful symbol only if diegetic (held/used/worn)","paired dominant symbols (two orbs/panels/frames) used to explain 'two worlds/options'"
"grand/majestic scale achieved through clean geometry and uplifting design","trauma/ruin vocabulary (haunted, survivors, oppressive, scars, shouted orders)"
"cross-cultural romance shown as blended motifs within one shared festival/place","literal two-cultures-as-two-cities/two-shores metaphor"
